valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.281,1968,0.000606,['The Beatles'],0.166,269787,0.831,0,0Bs0hUYxz7REyIHH7tRhL2,0.846,9,0.811,-8.469,1,Helter Skelter - Remastered 2009,62,11/22/1968,0.0894,167.518,1,The Beatles,Rock,-1
0.152,1968,0.425,['The Beatles'],0.792,52973,0.763,0,6j67aNAPeQ31uw4qw4rpLa,0.627,2,0.789,-11.185,1,Wild Honey Pie - Remastered 2009,49,11/22/1968,0.0506,89.9,1,The Beatles,Rock,-1
0.0312,1973,0.362,['Pink Floyd'],0.592,65314,0.0196,1,574y1r7o2tRA009FW0LE7v,0.854,1,0.108,-33.35,1,Speak to Me,61,3/1/1973,0.0358,119.504,1,Pink Floyd,psychedelia,-1
0.127,1975,0.577,['Pink Floyd'],0.287,747325,0.485,0,21j1PsCiTaO8ZW88UZrh3A,0.898,7,0.322,-13.155,0,Shine On You Crazy Diamond (Pts. 6-9),57,9/12/1975,0.0498,135.86,1,Pink Floyd,psychedelia,-1
0.0616,1977,0.0648,['Pink Floyd'],0.28,619079,0.716,0,55e99bv2wlgTYtNEYHWtN1,0.512,9,0.512,-12.095,0,Sheep,53,1/23/1977,0.0986,135.409,1,Pink Floyd,psychedelia,-1
0.0393,1979,0.0847,['Pink Floyd'],0.302,255934,0.111,0,3QEWEv1tvHmVgsT5THpGDn,0.777,9,0.621,-19.78,0,Don't Leave Me Now,54,11/30/1979,0.0349,123.021,1,Pink Floyd,psychedelia,-1
0.633,1982,0.000692,['Bad Brains'],0.0936,132787,0.719,1,0YnP5BtP6lTwQV8gLOzaov,0.815,9,0.096,-12.042,0,Banned in D.C.,54,1/1/1982,0.0397,77.999,1,Bad Brains,alternative metal,-1
0.0754,1982,0.00251,['Bad Brains'],0.139,115040,0.795,1,4P8n1pWj2xQnaBjy1rvZ3o,4.72e-05,0,0.614,-12.428,1,Sailin' On,51,1/1/1982,0.0581,82.083,1,Bad Brains,alternative metal,-1
0.0451,1983,0.932,['Brian Eno'],0.257,266200,0.0906,0,1vgSaC0BPlL6LEm4Xsx59J,0.985,8,0.0786,-25.381,1,An Ending (Ascent) - Remastered 2005,59,7/1/1983,0.07,67.46,1,Brian Eno,Ambient,-1
0.053,1986,0.992,['Harold Budd'],0.196,138427,0.00687,0,4KyJQKAFvEH4F52qSMuwIF,0.917,7,0.106,-34.255,1,Olancha Farewell,54,1/1/1986,0.0442,72.125,1,Harold Budd,Minimalism,-1
0.0381,1990,0.00195,['Suicidal Tendencies'],0.281,348093,0.958,1,203xxdlledLFnkqrUleD72,4.69e-05,4,0.0915,-10.798,0,You Can't Bring Me Down,54,7/2/1990,0.375,136.851,1,Suicidal Tendencies,website=AllMusic,-1
0.841,1997,0.00356,['Daft Punk'],0.956,429533,0.795,0,1pKYYY0dkg23sQQXi0Q5zN,0.889,7,0.0906,-5.311,1,Around the World,71,1/16/1997,0.15,121.294,1,Daft Punk,electronic,-1
0.67,2019,0.594,['Frank Ocean'],0.861,133680,0.647,1,4S4Mfvv03M1cHgIOJcbUCL,0.661,7,0.114,-7.425,1,In My Room,79,11/2/2019,0.0675,158.037,1,Frank Ocean,pop,-1
0.761,2019,0.0849,['NLE Choppa'],0.787,148759,0.713,1,4sWuPniHClkInYAnzXAYUF,0.0,7,0.717,-5.252,1,Camelot,75,9/13/2019,0.401,175.046,1,NLE Choppa,Hip hop,-1
0.96,1935,0.983,['Lead Belly'],0.578,61309,0.498,0,0fKGVC2wR7Y9OtwPnkFnhJ,0.849,3,0.262,-13.15,1,Boll Weevil (273-A-1),1,1/1/1935,0.247,194.746,1,Lead Belly,folk,-1
